rank,gene_id,tcga_train_n,tcga_train_events,tcga_cox_z,tcga_cox_p,meta_cox_z,meta_cox_p,direction
4840,ENSG00000144730.19,91,50,-1.4716568141753725,0.14111357505570368,-1.4716568141753725,0.14111357505570785,higher_expr_lower_risk
4841,ENSG00000113312.11,91,50,1.4716059491502989,0.14112731812633408,1.4716059491502989,0.14112731812633822,higher_expr_higher_risk
4842,ENSG00000165516.11,91,50,-1.4716002695833361,0.14112885273557513,-1.4716002695833361,0.14112885273557915,higher_expr_lower_risk
4843,ENSG00000257065.1,91,50,-1.471574787584231,0.1411357380858479,-1.471574787584231,0.14113573808585209,higher_expr_lower_risk
4844,ENSG00000115946.8,91,50,1.4711175067403215,0.1412593413131274,1.4711175067403215,0.14125934131313161,higher_expr_higher_risk
4845,ENSG00000103021.9,91,50,1.4709029974874541,0.14131735192418154,1.4709029974874541,0.1413173519241858,higher_expr_higher_risk
4846,ENSG00000174428.18,91,50,-1.4708576894610434,0.14132960709989908,-1.4708576894610434,0.1413296070999032,higher_expr_lower_risk
4847,ENSG00000198270.13,91,50,-1.4707110921121591,0.14136926519104934,-1.4707110921121591,0.1413692651910535,higher_expr_lower_risk
4848,ENSG00000160310.18,91,50,-1.47066817965897,0.14138087565449645,-1.47066817965897,0.14138087565450064,higher_expr_lower_risk
4849,ENSG00000196109.9,91,50,-1.470593698424159,0.14140102915871924,-1.470593698424159,0.14140102915872352,higher_expr_lower_risk
4850,ENSG00000156097.12,91,50,-1.4702476120021342,0.14149470391285512,-1.4702476120021342,0.14149470391285923,higher_expr_lower_risk
4851,ENSG00000004961.15,91,50,1.4701540864693547,0.1415200265275036,1.4701540864693547,0.14152002652750767,higher_expr_higher_risk
4852,ENSG00000138663.9,91,50,1.469630664136484,0.14166181063361324,1.469630664136484,0.14166181063361746,higher_expr_higher_risk
4853,ENSG00000230601.7,91,50,1.4696054878554692,0.14166863310871677,1.4696054878554692,0.14166863310872121,higher_expr_higher_risk
4854,ENSG00000196169.15,91,50,-1.4695167275981642,0.14169268810498484,-1.4695167275981642,0.1416926881049892,higher_expr_lower_risk
4855,ENSG00000077152.11,91,50,1.468683080498574,0.14191876870833728,1.468683080498574,0.14191876870834141,higher_expr_higher_risk
4856,ENSG00000188613.7,91,50,-1.4686605571737015,0.1419248807546238,-1.4686605571737015,0.14192488075462797,higher_expr_lower_risk
4857,ENSG00000136478.8,91,50,-1.4685747450444333,0.14194816903179838,-1.4685747450444333,0.14194816903180246,higher_expr_lower_risk
4858,ENSG00000127588.5,91,50,-1.4680463241083908,0.14209164017772097,-1.4680463241083908,0.14209164017772516,higher_expr_lower_risk
4859,ENSG00000141622.14,91,50,1.4678958287577837,0.1421325214185567,1.4678958287577837,0.1421325214185609,higher_expr_higher_risk
4860,ENSG00000162897.16,91,50,-1.4678546756134883,0.14214370201822893,-1.4678546756134883,0.14214370201823312,higher_expr_lower_risk
4861,ENSG00000135740.17,91,50,-1.467821087613239,0.14215282779929247,-1.467821087613239,0.14215282779929664,higher_expr_lower_risk
4862,ENSG00000170759.11,91,50,-1.4674240981310473,0.14226072300132692,-1.4674240981310473,0.14226072300133089,higher_expr_lower_risk
4863,ENSG00000099864.18,91,50,-1.4672159905050552,0.14231730834306286,-1.4672159905050552,0.1423173083430671,higher_expr_lower_risk
4864,ENSG00000100288.20,91,50,-1.4671947026199166,0.14232309758305578,-1.4671947026199166,0.14232309758306,higher_expr_lower_risk
4865,ENSG00000159082.18,91,50,-1.4670371102489457,0.14236596044987512,-1.4670371102489457,0.1423659604498793,higher_expr_lower_risk
4866,ENSG00000267673.6,91,50,-1.46687186516536,0.14241091538925987,-1.46687186516536,0.14241091538926393,higher_expr_lower_risk
4867,ENSG00000204335.4,91,50,-1.4665680560179055,0.1424935951325716,-1.4665680560179055,0.14249359513257592,higher_expr_lower_risk
4868,ENSG00000150048.10,91,50,-1.466338787899199,0.14255601339958973,-1.466338787899199,0.14255601339959392,higher_expr_lower_risk
4869,ENSG00000139644.13,91,50,1.4663183709881351,0.14256157292322272,1.4663183709881351,0.14256157292322702,higher_expr_higher_risk
4870,ENSG00000178537.10,91,50,-1.4661898524724948,0.14259657232861703,-1.4661898524724948,0.14259657232862108,higher_expr_lower_risk
4871,ENSG00000057704.13,91,50,1.4658451808242225,0.1426904692118429,1.4658451808242225,0.142690469211847,higher_expr_higher_risk
4872,ENSG00000165672.7,91,50,1.4655640404561845,0.14276709377730745,1.4655640404561845,0.14276709377731162,higher_expr_higher_risk
4873,ENSG00000172992.12,91,50,-1.465522299852546,0.14277847283497266,-1.465522299852546,0.14277847283497702,higher_expr_lower_risk
4874,ENSG00000142235.12,91,50,1.4653891695507373,0.14281477062121994,1.4653891695507373,0.14281477062122402,higher_expr_higher_risk
4875,ENSG00000142677.4,91,50,1.4651805376206677,0.14287166806399149,1.4651805376206677,0.14287166806399573,higher_expr_higher_risk
4876,ENSG00000203877.8,91,50,-1.464963756851678,0.14293080626016505,-1.464963756851678,0.14293080626016927,higher_expr_lower_risk
4877,ENSG00000256463.8,91,50,-1.4648815659963892,0.14295323298884274,-1.4648815659963892,0.1429532329888469,higher_expr_lower_risk
4878,ENSG00000123119.12,91,50,-1.4645985612727392,0.14303047476966665,-1.4645985612727392,0.14303047476967085,higher_expr_lower_risk
4879,ENSG00000139194.8,91,50,-1.464509283340999,0.143054848450224,-1.464509283340999,0.14305484845022814,higher_expr_lower_risk
4880,ENSG00000162601.11,91,50,-1.4641757889646199,0.1431459236124244,-1.4641757889646199,0.14314592361242845,higher_expr_lower_risk
4881,ENSG00000163818.17,91,50,-1.4640990237378373,0.14316689399810253,-1.4640990237378373,0.14316689399810675,higher_expr_lower_risk
4882,ENSG00000164707.15,91,50,-1.46401703342944,0.14318929435165095,-1.46401703342944,0.14318929435165514,higher_expr_lower_risk
4883,ENSG00000204614.9,91,50,-1.4638079279283125,0.1432464356825586,-1.4638079279283125,0.14324643568256273,higher_expr_lower_risk
4884,ENSG00000158402.20,91,50,1.4631435651951732,0.14342809922769856,1.4631435651951732,0.14342809922770267,higher_expr_higher_risk
4885,ENSG00000186517.14,91,50,-1.4630795631466469,0.1434456092954224,-1.4630795631466469,0.14344560929542652,higher_expr_lower_risk
