rank,gene_id,is_literature_curated
711,ENSG00000154620.6,False
712,ENSG00000166822.13,False
713,ENSG00000163840.10,False
714,ENSG00000144034.16,False
715,ENSG00000163687.14,False
716,ENSG00000122565.19,False
717,ENSG00000099203.7,False
718,ENSG00000164024.12,False
719,ENSG00000087157.19,False
720,ENSG00000185104.20,False
721,ENSG00000185973.12,False
722,ENSG00000113068.10,False
723,ENSG00000144791.10,False
724,ENSG00000179271.3,False
725,ENSG00000021355.13,False
726,ENSG00000266173.7,False
727,ENSG00000183638.6,False
728,ENSG00000109452.12,False
729,ENSG00000145335.17,False
730,ENSG00000078699.22,False
731,ENSG00000156304.15,False
732,ENSG00000157017.16,False
733,ENSG00000157870.17,False
734,ENSG00000120539.15,False
735,ENSG00000198673.10,False
736,ENSG00000166143.10,False
737,ENSG00000067646.12,False
738,ENSG00000101938.15,False
739,ENSG00000164619.10,False
740,ENSG00000182552.15,False
741,ENSG00000181143.15,False
742,ENSG00000173578.8,False
743,ENSG00000168079.17,False
744,ENSG00000078487.17,False
745,ENSG00000173237.4,False
746,ENSG00000154305.18,False
747,ENSG00000074410.14,False
748,ENSG00000065882.16,False
749,ENSG00000065518.8,False
750,ENSG00000155827.12,False
751,ENSG00000162961.14,False
752,ENSG00000171310.11,False
753,ENSG00000187068.3,False
754,ENSG00000120616.16,False
755,ENSG00000258388.7,False
756,ENSG00000183207.14,False
757,ENSG00000170027.7,False
758,ENSG00000187475.6,False
759,ENSG00000095397.16,False
760,ENSG00000152804.11,False
761,ENSG00000102595.20,False
762,ENSG00000160445.11,False
763,ENSG00000198911.12,False
764,ENSG00000126752.8,False
765,ENSG00000121858.11,False
766,ENSG00000213920.9,False
767,ENSG00000169045.17,False
768,ENSG00000132694.19,False
769,ENSG00000175137.11,False
770,ENSG00000114125.14,False
771,ENSG00000082781.12,False
772,ENSG00000188373.5,False
773,ENSG00000113356.13,False
774,ENSG00000167565.13,False
775,ENSG00000075223.14,False
776,ENSG00000100422.14,False
777,ENSG00000159593.15,False
778,ENSG00000130723.21,False
779,ENSG00000167653.5,False
780,ENSG00000164032.12,False
781,ENSG00000178217.14,False
782,ENSG00000126500.3,False
783,ENSG00000170677.6,False
784,ENSG00000149571.12,False
785,ENSG00000166592.12,False
786,ENSG00000186297.12,False
787,ENSG00000285938.1,False
788,ENSG00000033122.21,False
789,ENSG00000117877.11,False
790,ENSG00000213903.9,False
791,ENSG00000148297.16,False
792,ENSG00000136169.16,False
793,ENSG00000198121.13,False
794,ENSG00000280670.3,False
795,ENSG00000124181.14,False
796,ENSG00000090487.11,False
797,ENSG00000062038.14,False
798,ENSG00000114982.19,False
799,ENSG00000119397.17,False
800,ENSG00000120833.14,False
801,ENSG00000173214.7,False
802,ENSG00000122958.15,False
803,ENSG00000119866.22,False
804,ENSG00000133460.19,False
805,ENSG00000150316.12,False
806,ENSG00000141503.17,False
807,ENSG00000137876.11,False
808,ENSG00000165474.8,False
809,ENSG00000109805.10,False
810,ENSG00000070778.13,False
