gene_id,gene_symbol,source
ENSG00000114646.10,CSPG5,gyorffy_survival
ENSG00000144655.15,CSRNP1,gyorffy_survival
ENSG00000144579.8,CTDSP1,gyorffy_survival
ENSG00000163599.17,CTLA4,literature_pan_cancer
ENSG00000256043.4,CTSO,gyorffy_survival
ENSG00000136943.11,CTSV,literature_oncotype_dx
ENSG00000107874.11,CUEDC2,gyorffy_survival
ENSG00000169245.6,CXCL10,gyorffy_survival
ENSG00000107562.16,CXCL12,literature_pan_cancer
ENSG00000156234.7,CXCL13,gyorffy_survival
ENSG00000169429.11,CXCL8,literature_pan_cancer
ENSG00000121966.7,CXCR4,gyorffy_survival
ENSG00000171604.12,CXXC5,literature_pam50
ENSG00000166347.19,CYB5A,gyorffy_survival
ENSG00000165168.8,CYBB,gyorffy_survival
ENSG00000008256.16,CYTH3,gyorffy_survival
ENSG00000173402.12,DAG1,gyorffy_survival
ENSG00000178149.17,DALRD3,gyorffy_survival
ENSG00000196730.13,DAPK1,gyorffy_survival
ENSG00000070190.13,DAPP1,gyorffy_survival
ENSG00000011465.18,DCN,literature_pan_cancer
ENSG00000129187.14,DCTD,gyorffy_survival
ENSG00000137692.12,DCUN1D5,gyorffy_survival
ENSG00000168872.17,DDX19A,gyorffy_survival
ENSG00000107625.13,DDX50,gyorffy_survival
ENSG00000177030.17,DEAF1,gyorffy_survival
ENSG00000162777.17,DENND2D,gyorffy_survival
ENSG00000100867.15,DHRS2,gyorffy_survival
ENSG00000066084.13,DIP2B,gyorffy_survival
ENSG00000126787.13,DLGAP5,gyorffy_survival
ENSG00000105880.7,DLX5,gyorffy_survival
ENSG00000138346.15,DNA2,gyorffy_survival
ENSG00000162616.9,DNAJB4,gyorffy_survival
ENSG00000088305.18,DNMT3B,gyorffy_survival
ENSG00000136982.6,DSCC1,gyorffy_survival
ENSG00000125868.16,DSTN,gyorffy_survival
ENSG00000137857.17,DUOX1,gyorffy_survival
ENSG00000111266.9,DUSP16,gyorffy_survival
ENSG00000138166.6,DUSP5,gyorffy_survival
ENSG00000130829.18,DUSP9,gyorffy_survival
ENSG00000134874.18,DZIP1,gyorffy_survival
ENSG00000112242.15,E2F3,gyorffy_survival
ENSG00000127884.5,ECHS1,gyorffy_survival
ENSG00000114346.14,ECT2,gyorffy_survival
ENSG00000167658.16,EEF2,gyorffy_survival
ENSG00000115468.12,EFHD1,gyorffy_survival
ENSG00000146648.19,EGFR,literature_pam50
ENSG00000175390.15,EIF3F,gyorffy_survival
ENSG00000187840.5,EIF4EBP1,gyorffy_survival
ENSG00000102034.17,ELF4,gyorffy_survival
ENSG00000179387.10,ELMOD2,gyorffy_survival
ENSG00000197977.4,ELOVL2,gyorffy_survival
ENSG00000012660.14,ELOVL5,gyorffy_survival
ENSG00000125746.18,EML2,gyorffy_survival
ENSG00000163064.7,EN1,gyorffy_survival
ENSG00000074800.16,ENO1,literature_pan_cancer
ENSG00000111674.9,ENO2,gyorffy_survival
ENSG00000083782.8,EPYC,gyorffy_survival
ENSG00000141736.14,ERBB2,gyorffy_survival
ENSG00000178568.15,ERBB4,gyorffy_survival
ENSG00000012061.16,ERCC1,literature_pan_cancer
ENSG00000089248.7,ERP29,gyorffy_survival
ENSG00000116285.13,ERRFI1,gyorffy_survival
ENSG00000135476.12,ESPL1,gyorffy_survival
ENSG00000091831.24,ESR1,gyorffy_survival
ENSG00000157557.13,ETS2,gyorffy_survival
ENSG00000196405.13,EVL,gyorffy_survival
ENSG00000174371.17,EXO1,literature_pam50
ENSG00000106462.11,EZH2,gyorffy_survival
ENSG00000103089.9,FA2H,gyorffy_survival
ENSG00000117480.16,FAAH,gyorffy_survival
